article_name,country,revision_id,article_quality,population
Rawhi Fattouh,Palestinian Territory,760357919.0,Start,
Wasfi Kabha,Palestinian Territory,760375386.0,Stub,
Omar Hammayil,Palestinian Territory,760380012.0,Stub,
Mohammed Milhim,Palestinian Territory,760380700.0,Stub,
Faisal Husseini,Palestinian Territory,765742925.0,Start,
Haidar Abdel-Shafi,Palestinian Territory,766784372.0,Start,
Nasser al-Shaer,Palestinian Territory,766840809.0,Start,
Omar Abd al-Razaq,Palestinian Territory,766847361.0,Stub,
Adnan al-Husayni,Palestinian Territory,767482479.0,Stub,
Ziad Abu Amr,Palestinian Territory,767881055.0,Start,
Ziad Abuzayyad,Palestinian Territory,768374386.0,Start,
Azzam al-Ahmad,Palestinian Territory,769135700.0,Stub,
Leila Shahid,Palestinian Territory,769328020.0,Start,
Sharm El Sheikh Memorandum,Palestinian Territory,771217707.0,Start,
Hussein al-Husayni,Palestinian Territory,773002344.0,Start,
Riyad al-Maliki,Palestinian Territory,773227993.0,Start,
Yasser Abed Rabbo,Palestinian Territory,774821388.0,C,
Isra al-Modallal,Palestinian Territory,775535912.0,Start,
Jamal Abu Samhadana,Palestinian Territory,775898615.0,C,
Sufian Abu Zaida,Palestinian Territory,776289919.0,Start,
Taysir Khalid,Palestinian Territory,776386870.0,Stub,
Ibrahim Nassar,Palestinian Territory,776831011.0,Start,
Anwar Khatib,Palestinian Territory,777026878.0,Start,
Jamil Majdalawi,Palestinian Territory,779034357.0,Stub,
Foreign Affairs Minister of the Palestinian National Authority,Palestinian Territory,779105366.0,Start,
Rabiha Diab,Palestinian Territory,779367907.0,Stub,
Ahmed Hilmi Pasha,Palestinian Territory,782105397.0,C,
Majida Al-Masri,Palestinian Territory,783041670.0,Stub,
Emil Ghuri,Palestinian Territory,784373796.0,Stub,
Ali Jarbawi,Palestinian Territory,784662302.0,Start,
Jamal al-Jamal,Palestinian Territory,784977752.0,Start,
Jamal al-Husayni,Palestinian Territory,785938135.0,B,
Musa al-Husayni,Palestinian Territory,785938199.0,B,
Salim al-Husayni,Palestinian Territory,785938222.0,Stub,
Mustafa Barghouti,Palestinian Territory,787198183.0,C,
Abdel Hafiz Nofal,Palestinian Territory,787385830.0,Start,
Zaki al-Ghul,Palestinian Territory,787447130.0,Stub,
Oslo I Accord,Palestinian Territory,787453135.0,C,
Adly Yaish,Palestinian Territory,787691185.0,Stub,
Intissar al-Wazir,Palestinian Territory,788004334.0,Start,
Muhammad Abu Tir,Palestinian Territory,788019130.0,C,
"Palestinian general election, 1996",Palestinian Territory,788023506.0,C,
Protocol Concerning the Redeployment in Hebron,Palestinian Territory,788026998.0,C,
Yousef al-Khalidi,Palestinian Territory,788159128.0,Stub,
List of mayors of Nablus,Palestinian Territory,788189214.0,Stub,
Khalil al-Hayya,Palestinian Territory,788437086.0,Stub,
President of the Palestinian National Authority,Palestinian Territory,788509815.0,B,
Fathi Ahmad Hammad,Palestinian Territory,788591724.0,Stub,
Abdullah Rimawi,Palestinian Territory,788953220.0,GA,
Yahya Hammuda,Palestinian Territory,788988278.0,Stub,
Hani al-Hassan,Palestinian Territory,789228790.0,Start,
Bashir Barghouti,Palestinian Territory,790695172.0,Start,
Bassam as-Salhi,Palestinian Territory,790721748.0,Stub,
Khalida Jarrar,Palestinian Territory,791881528.0,B,
Kamel al-Budeiri,Palestinian Territory,792611747.0,Start,
Zuheir Mohsen,Palestinian Territory,792615206.0,C,
Abdel-Razak al-Yehiyeh,Palestinian Territory,793718428.0,Start,
Abu Ali Mustafa,Palestinian Territory,794170874.0,Start,
Salah Khalaf,Palestinian Territory,794482018.0,C,
Kamal Nasser,Palestinian Territory,795004000.0,Start,
Current members of Palestinian Legislative Council,Palestinian Territory,795648388.0,Start,
Fathi Hamad,Palestinian Territory,796124047.0,Start,
Musa Alami,Palestinian Territory,796697881.0,C,
Palestinian Declaration of Independence,Palestinian Territory,796911861.0,C,
Ahmad Kurd,Palestinian Territory,796924085.0,Stub,
Amin al-Majaj,Palestinian Territory,796961464.0,Start,
Aziz Duwaik,Palestinian Territory,797021613.0,C,
Ahmed Yassin,Palestinian Territory,797122322.0,GA,
Hanan Ashrawi,Palestinian Territory,797806716.0,C,
Cause of Yasser Arafat's death,Palestinian Territory,798100387.0,B,
Kassim Al-Rimawi,Palestinian Territory,798262559.0,Start,
Ibrahim Abu-Lughod,Palestinian Territory,798282902.0,C,
Islah Jad,Palestinian Territory,798331360.0,Start,
Issam Sartawi,Palestinian Territory,798732432.0,C,
Marwan Barghouti,Palestinian Territory,798913975.0,GA,
Mohammad Shtayyeh,Palestinian Territory,799023109.0,C,
Mohammed Dahlan,Palestinian Territory,799023535.0,C,
Nabil Shaath,Palestinian Territory,799072017.0,Start,
Nabeel Kassis,Palestinian Territory,799209138.0,Start,
Mahmoud al-Mabhouh,Palestinian Territory,799802471.0,GA,
Qadura Fares,Palestinian Territory,799858795.0,Stub,
Leila Khaled,Palestinian Territory,800067783.0,C,
Muhammad Nimr al-Hawari,Palestinian Territory,800264686.0,C,
Wadie Haddad,Palestinian Territory,800268417.0,Start,
Munib al-Masri,Palestinian Territory,800663648.0,C,
Suha Arafat,Palestinian Territory,800718761.0,C,
Taba Summit,Palestinian Territory,800748567.0,C,
Sari Nusseibeh,Palestinian Territory,800949001.0,C,
Education Minister of the Palestinian National Authority,Palestinian Territory,801102332.0,Start,
Yaqub al-Ghusayn,Palestinian Territory,801214518.0,Start,
Khaled Mashal,Palestinian Territory,801299475.0,B,
Ziad Abu Ein,Palestinian Territory,801335922.0,C,
Zuhdi Labib Terzi,Palestinian Territory,801507800.0,Start,
Raghib al-Nashashibi,Palestinian Territory,801867039.0,Start,
Jamila Abdallah Taha al-Shanti,Palestinian Territory,802082257.0,Stub,
Jibril Rajoub,Palestinian Territory,802302873.0,C,
Abdelrahman al-Dajani,Palestinian Territory,802436402.0,Stub,
Ahmad Agha Duzdar,Palestinian Territory,802436510.0,Stub,
Musa al-Alami (mayor of Jerusalem),Palestinian Territory,802436655.0,Stub,
Hussam ad-Din Jarallah,Palestinian Territory,802438226.0,Start,
As'ad Shukeiri,Palestinian Territory,802444446.0,Stub,
Eyad al-Sarraj,Palestinian Territory,802495061.0,Start,
Abdel Aziz al-Rantisi,Palestinian Territory,802598153.0,C,
Fatima Bernawi,Palestinian Territory,802835604.0,Start,
Ahmad Sa'adat,Palestinian Territory,802968215.0,C,
Salah Shehade,Palestinian Territory,803242304.0,C,
Mahmoud Abbas,Palestinian Territory,803433440.0,B,
Yasser Arafat,Palestinian Territory,804075706.0,FA,
Ahmad Shukeiri,Palestinian Territory,804132518.0,Start,
10 agorot controversy,Palestinian Territory,804292510.0,Start,
2000 Camp David Summit,Palestinian Territory,804914588.0,B,
Amin al-Husseini,Palestinian Territory,804940228.0,B,
Adel Zawati,Palestinian Territory,804957442.0,Start,
Omar Barghouti,Palestinian Territory,805306238.0,C,
Arab Money,Palestinian Territory,805321868.0,C,
Ghassan Khatib,Palestinian Territory,805441005.0,Start,
Ahmad Toukan,Palestinian Territory,805811873.0,Start,
Khalil al-Wazir,Palestinian Territory,806359448.0,B,
Ismail Haniyeh,Palestinian Territory,806939531.0,C,
Nizar Rayan,Palestinian Territory,807364845.0,,
Haifa al-Agha,Palestinian Territory,807439836.0,,
Mahmoud al-Zahar,Palestinian Territory,807444564.0,,
Hakam Balawi,Palestinian Territory,807459429.0,,
Yunis Al Astal,Palestinian Territory,807462818.0,,
Julius Gregr,Czech Republic,395521877.0,Stub,
Edvard Gregr,Czech Republic,395526568.0,Stub,
Miroslav Poche,Czech Republic,672862914.0,Stub,
Vojtěch Mynář,Czech Republic,673008587.0,Stub,
Jan Malypetr,Czech Republic,704424304.0,Stub,
Emanuel Moravec,Czech Republic,705080136.0,Start,
Vladimír Hučín,Czech Republic,707597623.0,Start,
Pavla Topolánková,Czech Republic,709676840.0,Start,
Josef Barák,Czech Republic,711675761.0,Stub,
Antonín Švehla,Czech Republic,712426548.0,Stub,
Jakob Marzel Sternberger,Czech Republic,713698544.0,Stub,
Alois Anderka,Czech Republic,714174726.0,Stub,
Ivan Dejmal,Czech Republic,715467197.0,Start,
Franz Macoun,Czech Republic,715640391.0,Stub,
Karel Urbánek,Czech Republic,716711851.0,Stub,
Vladimír Klokočka,Czech Republic,717429365.0,Start,
Jaromír Jermář,Czech Republic,720027362.0,Stub,
Artur London,Czech Republic,721736524.0,Start,
František Sláma (politician),Czech Republic,722937211.0,Stub,
Jan Kubice,Czech Republic,723151837.0,Stub,
Kamil Jankovský,Czech Republic,723207013.0,Stub,
Václav Vacek,Czech Republic,724691268.0,Stub,
Čestmír Císař,Czech Republic,725362978.0,C,
Luca Rovinalti,Czech Republic,726666131.0,Stub,
Kamil Krofta,Czech Republic,726762194.0,Start,
Milan Štěch,Czech Republic,728506208.0,Stub,
Antonín Janoušek,Czech Republic,729912438.0,Stub,
Bedřich Geminder,Czech Republic,730146355.0,Stub,
Karel Domin,Czech Republic,735174171.0,Start,
Hubert Ripka,Czech Republic,737562321.0,Stub,
Tomáš Eduard Šilinger,Czech Republic,741588720.0,Stub,
Petr Janyška,Czech Republic,741798984.0,Stub,
Jana Juřenčáková,Czech Republic,743423675.0,Stub,
Jaromír Nečas,Czech Republic,744448745.0,Stub,
Siegfried Taub,Czech Republic,744612257.0,Start,
Záviš Kalandra,Czech Republic,746707985.0,Stub,
Alois Rašín,Czech Republic,749575931.0,Start,
Bedřich Reicin,Czech Republic,749945936.0,Start,
Bernd Richter,Czech Republic,751718674.0,Stub,
Kamil Kalina,Czech Republic,753045804.0,Stub,
Richard Sacher,Czech Republic,755428089.0,Stub,
Václav Fischer,Czech Republic,756317863.0,Start,
Božena Viková-Kunětická,Czech Republic,757336278.0,Stub,
Mikuláš of Hus,Czech Republic,758942647.0,Stub,
Gertruda Sekaninová-Čakrtová,Czech Republic,759446334.0,GA,
Petr Mlsna,Czech Republic,765838180.0,Stub,
Antonín Cyril Stojan,Czech Republic,768047769.0,C,
František Kubka,Czech Republic,768676716.0,Stub,
Josef Pfitzner,Czech Republic,773853256.0,Start,
Vladimír Franz,Czech Republic,774595725.0,C,
Jan Stocklassa,Czech Republic,776095794.0,Stub,
Jaroslav Krejčí,Czech Republic,776197284.0,Start,
Libuše Benešová,Czech Republic,776338134.0,Stub,
Daniela Filipiová,Czech Republic,776338195.0,Start,
Moses Porges von Portheim,Czech Republic,776487173.0,Start,
Jan Kasl,Czech Republic,776508129.0,Start,
Jiří Kittner,Czech Republic,776509425.0,Stub,
Miloslav Vlček,Czech Republic,776513404.0,Stub,
Ivo Svoboda (politician),Czech Republic,776513552.0,Start,
Hana Orgoníková,Czech Republic,776513802.0,Stub,
Pavel Dostál,Czech Republic,776514175.0,Start,
Jiří Lobkowicz,Czech Republic,776751749.0,Stub,
Bohuslav Kokotek,Czech Republic,777876483.0,Stub,
Alena Hanáková,Czech Republic,778095433.0,Stub,
Irena Kočí,Czech Republic,779417455.0,Stub,
Martin Netolický,Czech Republic,779417738.0,Stub,
David Rath,Czech Republic,779418369.0,Start,
Eva Nováková,Czech Republic,779498276.0,Stub,
Vojtěch Adam,Czech Republic,779500408.0,Stub,
Vlastimil Balín,Czech Republic,779500749.0,Stub,
Jiří Dolejš,Czech Republic,779500957.0,Stub,
Zuzka Bebarová-Rujbrová,Czech Republic,779501010.0,Stub,
Marie Stiborová,Czech Republic,779501096.0,Stub,
Jiří Svoboda (politician),Czech Republic,779501161.0,Stub,
Miloslava Vostrá,Czech Republic,779501194.0,Stub,
Jiří Čeřovský,Czech Republic,779501654.0,Stub,
Jan Korger,Czech Republic,779501783.0,Stub,
Kateřina Jacques,Czech Republic,779581127.0,C,
Tomáš Chalupa,Czech Republic,779839245.0,Stub,
Pavel Blažek,Czech Republic,779839319.0,Stub,
Aleš Řebíček,Czech Republic,779839400.0,Stub,
Ivan Langer,Czech Republic,779839455.0,Start,
Jan Stráský,Czech Republic,779839492.0,Start,
Jan Chvojka,Czech Republic,779842639.0,Stub,
Marie Benešová,Czech Republic,779847262.0,Stub,
Juraj Chmiel,Czech Republic,779847492.0,Stub,
Daniela Kovářová,Czech Republic,779847531.0,Stub,
Rostislav Vondruška,Czech Republic,779847687.0,Stub,
Martin Štěpánek (actor),Czech Republic,779847799.0,Stub,
Helena Třeštíková,Czech Republic,779847837.0,Stub,
Milena Vicenová,Czech Republic,779847883.0,Stub,
Jaroslav Bašta,Czech Republic,779848743.0,Stub,
Josef Lux,Czech Republic,779849059.0,Stub,
Miroslav Macek,Czech Republic,779849258.0,Stub,
Ladislav Miko,Czech Republic,779849694.0,Stub,
Džamila Stehlíková,Czech Republic,779849767.0,Stub,
Jozef Moravčík,Czech Republic,780051829.0,Stub,
Milan Uhde,Czech Republic,780321961.0,Stub,
František Pitra,Czech Republic,780534080.0,Stub,
Oldřich Černík,Czech Republic,780534267.0,Stub,
Otakar Motejl,Czech Republic,780868492.0,Start,
Ludwig Czech,Czech Republic,780887131.0,Stub,
Rudolf Beran,Czech Republic,780921783.0,Start,
Victor Adler,Czech Republic,782058966.0,Start,
Emil Beier,Czech Republic,782384016.0,Stub,
Bruno Kafka,Czech Republic,783065752.0,Stub,
Lucie Talmanová,Czech Republic,783711789.0,Start,
Martin Mejstřík,Czech Republic,783737915.0,Stub,
Vlastimil Tusar,Czech Republic,784145485.0,Start,
Petr Bendl,Czech Republic,784826685.0,Start,
Petr Gandalovič,Czech Republic,784826720.0,Start,
Tomáš Vandas,Czech Republic,784968648.0,Start,
Robert Mayr-Harting,Czech Republic,785085345.0,Stub,
Karel Havlíček Borovský,Czech Republic,785407597.0,C,
Jan Černý,Czech Republic,786162238.0,Stub,
Josef Frank (politician),Czech Republic,786399604.0,Stub,
Philip Kinsky of Wchinitz and Tettau,Czech Republic,786612217.0,Start,
Luboš Dobrovský,Czech Republic,787952395.0,Stub,
Bedřich Moldan,Czech Republic,787952868.0,Stub,
Martin Palouš,Czech Republic,788015952.0,Start,
Hermann Zwierzina,Czech Republic,788121309.0,Stub,
Eduard Zeman,Czech Republic,788178766.0,Stub,
Richard Bienert,Czech Republic,788410657.0,Start,
Václav Hampl,Czech Republic,789102318.0,Start,
Miroslav Grebeníček,Czech Republic,789546047.0,Stub,
Vlasta Štěpová,Czech Republic,789546066.0,Stub,
Egon Lánský,Czech Republic,789546079.0,Start,
Antonín Prachař,Czech Republic,789546102.0,Stub,
Milan Horálek,Czech Republic,789546147.0,Stub,
Antonín Novotný,Czech Republic,790372008.0,C,
Zuzana Brzobohatá,Czech Republic,790608148.0,Stub,
Alena Palečková,Czech Republic,790608180.0,Stub,
Zuzana Roithová,Czech Republic,790608186.0,Start,
"List of MPs elected in the Czech legislative election, 2017",Czech Republic,790838510.0,Stub,
Martin Jahn,Czech Republic,791374581.0,Start,
Pavel Rychetský,Czech Republic,792417439.0,Start,
Gustáv Slamečka,Czech Republic,792476721.0,Start,
Edvard Kožušník,Czech Republic,793087579.0,Stub,
Jan Masaryk,Czech Republic,793642926.0,C,
Jan Koukal,Czech Republic,794146543.0,Stub,
Pavel Bém,Czech Republic,794995687.0,Start,
"List of MPs elected in the Czech legislative election, 2013",Czech Republic,795098385.0,C,
Vít Bárta,Czech Republic,795377941.0,Stub,
Karl Kautsky,Czech Republic,795807571.0,C,
Karl von Czyhlarz,Czech Republic,795809115.0,Stub,
Václav Fresl,Czech Republic,796253432.0,Stub,
Josef Václav Frič,Czech Republic,796403608.0,Start,
Tomáš Zdechovský,Czech Republic,796749458.0,C,
Andrea Češková,Czech Republic,796751775.0,Stub,
Dana Kuchtová,Czech Republic,796752629.0,Stub,
Rudolf Margolius,Czech Republic,796825099.0,C,
František Ladislav Rieger,Czech Republic,797539957.0,B,
Petr Mach,Czech Republic,797842545.0,Start,
Jaroslava Moserová,Czech Republic,798490261.0,Start,
Vávra Suk,Czech Republic,798648973.0,Stub,
Vojtěch Náprstek,Czech Republic,798686948.0,C,
Lubomír Štrougal,Czech Republic,798705619.0,Start,
Jan Krejčí,Czech Republic,798796793.0,B,
Radek John,Czech Republic,798944631.0,Stub,
Jan Jesenius,Czech Republic,799301686.0,Start,
Josef Ježek,Czech Republic,800555146.0,Start,
Jana Bobošíková,Czech Republic,800754664.0,Start,
Franz Anton von Kolowrat-Liebsteinsky,Czech Republic,800883412.0,Start,
Viktor Dyk,Czech Republic,800925236.0,C,
Alois Jirásek,Czech Republic,800925518.0,C,
"Alexander von Mensdorff-Pouilly, Prince Dietrichstein von Nicolsburg",Czech Republic,801939668.0,Start,
Adriana Krnáčová,Czech Republic,801972898.0,Start,
Ondřej Liška,Czech Republic,802013967.0,Stub,
Marcel Chládek,Czech Republic,802054500.0,Stub,
Miroslava Kopicová,Czech Republic,802055280.0,Stub,
Milan Chovanec,Czech Republic,802060218.0,Stub,
František Bublan,Czech Republic,802060471.0,Stub,
Jiří Dienstbier Jr.,Czech Republic,802069244.0,C,
Táňa Fischerová,Czech Republic,802360196.0,C,
Václav Jehlička,Czech Republic,802365998.0,Stub,
Viliam Široký,Czech Republic,802416926.0,Stub,
Miroslav Lidinský,Czech Republic,802531379.0,C,
Petr Cibulka,Czech Republic,802834939.0,Start,
Anna Šabatová,Czech Republic,802875800.0,Stub,
Adolph Aloys von Braun,Czech Republic,803332354.0,C,
Dana Bérová,Czech Republic,803438779.0,Stub,
František Palacký,Czech Republic,803658529.0,C,
Miroslav Kostelka,Czech Republic,803709959.0,Stub,
Martin Barták,Czech Republic,803793256.0,Stub,
Karolína Peake,Czech Republic,803794383.0,Start,
Petr Ježek,Czech Republic,803983301.0,Start,
František Udržal,Czech Republic,804093764.0,Stub,
Václav Havel,Czech Republic,804569724.0,C,
Pavel Fischer,Czech Republic,804582256.0,Stub,
Eva Tylová,Czech Republic,804591494.0,Stub,
Dana Jurásková,Czech Republic,804715205.0,Stub,
Svatopluk Němeček,Czech Republic,804715467.0,Stub,
Richard Brabec,Czech Republic,804820949.0,Stub,
Jan Fischer (politician),Czech Republic,804868436.0,C,
Martin Pecina,Czech Republic,804869147.0,Stub,
Vlasta Parkanová,Czech Republic,804871394.0,Stub,
Martin Bursík,Czech Republic,804879673.0,Start,
Lubomír Zaorálek,Czech Republic,805037426.0,Start,
Radola Gajda,Czech Republic,805084705.0,C,
Karel Schwarzenberg,Czech Republic,805176779.0,C,
Vlasta Svobodová,Czech Republic,805179298.0,Stub,
Ondřej Přikryl,Czech Republic,805352758.0,Start,
Milada Horáková,Czech Republic,805439919.0,C,
Martin Holcát,Czech Republic,805824502.0,Stub,
Alena Dernerová,Czech Republic,805946007.0,Stub,
Marian Jurečka,Czech Republic,806049453.0,Stub,
Pavel Bělobrádek,Czech Republic,806085100.0,Stub,
Dan Ťok,Czech Republic,806231200.0,Stub,
Jiří Dienstbier,Czech Republic,806490518.0,Stub,
Rudolf Slánský,Czech Republic,806504904.0,C,
Alexandr Vondra,Czech Republic,806537585.0,C,
Jaroslav Šedivý,Czech Republic,806538241.0,Stub,
Cyril Svoboda,Czech Republic,806538320.0,C,
Jan Kohout,Czech Republic,806539480.0,Stub,
Miloš Vystrčil,Czech Republic,806558617.0,Stub,
Alois Eliáš,Czech Republic,806566913.0,C,
Jan Skopeček (politician),Czech Republic,806569308.0,Stub,
Miloslav Ludvík,Czech Republic,806586185.0,Stub,
Martin Kupka,Czech Republic,806636602.0,Stub,
Matěj Stropnický,Czech Republic,806650264.0,Stub,
Petr Šimerka,Czech Republic,806669645.0,Stub,
Jaromír Drábek,Czech Republic,806669709.0,Stub,
Ludmila Müllerová,Czech Republic,806669752.0,Stub,
Jan Veleba (politician),Czech Republic,806672899.0,Stub,
František Ringo Čech,Czech Republic,806673245.0,Stub,
Michaela Marksová,Czech Republic,806673585.0,Stub,
Robert Pelikán,Czech Republic,806708361.0,Stub,
Karla Šlechtová,Czech Republic,806708532.0,Stub,
Stanislav Gross,Czech Republic,806720477.0,C,
Martin Stropnický,Czech Republic,806729653.0,Stub,
Leoš Heger,Czech Republic,806751902.0,Stub,
Bohuslav Svoboda,Czech Republic,806850638.0,Stub,
Miroslava Němcová,Czech Republic,806876791.0,Stub,
Zbyněk Stanjura,Czech Republic,806900987.0,Stub,
Drahomíra Miklošová,Czech Republic,806988445.0,Stub,
Václav Klaus Jr.,Czech Republic,806991412.0,C,
Dominik Feri,Czech Republic,807058182.0,Start,
Alexandra Udženija,Czech Republic,807102237.0,Stub,
Ivan Pilný,Czech Republic,807333095.0,,
Marta Semelová,Czech Republic,807334610.0,,
Daniel Herman,Czech Republic,807334657.0,,
Jan Hamáček,Czech Republic,807353609.0,,
Michal Horáček,Czech Republic,807358143.0,,
Václav Klaus,Czech Republic,807382193.0,,
Martin Kuba,Czech Republic,807394304.0,,
Martin Říman,Czech Republic,807394725.0,,
Kateřina Valachová,Czech Republic,807399097.0,,
Vladimír Tošovský,Czech Republic,807415625.0,,
Pavel Svoboda,Czech Republic,807416099.0,,
Petr Fiala,Czech Republic,807420515.0,,
Vladimír Špidla,Czech Republic,807462107.0,,
Al Adair,Canada,807298891.0,,37.2
Alexandrine Latendresse,Canada,807405641.0,,37.2
Aaron Paquette,Canada,807424740.0,,37.2
Amir Khadir,Canada,807479923.0,,37.2
Hillel Schwartz,Egypt,807322896.0,,97
Amr Ali (youth leader),Egypt,807407242.0,,97
Mohammed Adel (youth leader),Egypt,807407556.0,,97
Ahmed Maher (youth leader),Egypt,807407729.0,,97
Saba Habachy,Egypt,807450050.0,,97
Arbab Amir Ayub,Pakistan,807317529.0,,200.6
Meher Taj Roghani,Pakistan,807321675.0,,200.6
Inayatullah Khan Gandapur,Pakistan,807338077.0,,200.6
Hamza Ali Abbasi,Pakistan,807405539.0,,200.6
Hafiz Muhammad Saeed,Pakistan,807425320.0,,200.6
Anwar Kamal Khan,Pakistan,807433544.0,,200.6
Sarfraz Nawaz,Pakistan,807463466.0,,200.6
Sharjeel Memon,Pakistan,807472163.0,,200.6
Alexander Hamilton,United States,807298433.0,,328
John Rood,United States,807305287.0,,328
Edward I. Edwards,United States,807308113.0,,328
Environmental activism of Al Gore,United States,807336702.0,,328
Stuart M. Gerson,United States,807341393.0,,328
Gabriel Rothblatt,United States,807351794.0,,328
Charlie Crist,United States,807355312.0,,328
Brian Fitzpatrick (American politician),United States,807355682.0,,328
Brian Mast,United States,807357467.0,,328
Breckinridge family,United States,807361852.0,,328
Joseph M. McCormick,United States,807367296.0,,328
First Family of the United States,United States,807378110.0,,328
Danica Roem,United States,807378589.0,,328
Harvey Milk,United States,807378968.0,,328
Romney family,United States,807386502.0,,328
Franklin D. Roosevelt,United States,807395895.0,,328
Warren Terhune,United States,807396897.0,,328
Washburn family,United States,807413826.0,,328
John McCain,United States,807428251.0,,328
United States Attorneys appointed by Donald Trump,United States,807429322.0,,328
Political appointments by Donald Trump,United States,807439921.0,,328
Bob Stump (U.S. Congressman),United States,807439945.0,,328
Mason family,United States,807454637.0,,328
Jan Lee,United States,807459157.0,,328
Hans A. Aune,United States,807470407.0,,328
Huey Long,United States,807473939.0,,328
Hamilton family,United States,807473969.0,,328
Hal Bidlack,United States,807481636.0,,328
Lucius Fairchild,United States,807483006.0,,328
Francis Fessenden,United States,807483270.0,,328
H. Khekiho Zhimomi,India,807301484.0,,"1,371.3"
J. F. R. Jacob,India,807312721.0,,"1,371.3"
Maqbool Sherwani,India,807320547.0,,"1,371.3"
Rajendra Kumar Rai,India,807323964.0,,"1,371.3"
Emonsing M Sangma,India,807338356.0,,"1,371.3"
Mohammad Shafi Qureshi,India,807341484.0,,"1,371.3"
Sriman Prafulla Goswami,India,807348173.0,,"1,371.3"
Yasoda Reddy,India,807351379.0,,"1,371.3"
Bira Kesari Deo,India,807354190.0,,"1,371.3"
Chityala Ailamma,India,807354591.0,,"1,371.3"
K Chandrasekharan,India,807357885.0,,"1,371.3"
Syama Prasad Mukherjee,India,807372494.0,,"1,371.3"
H. Raja,India,807372567.0,,"1,371.3"
Ramesh Chander Kaushik,India,807373521.0,,"1,371.3"
Aseem Goel,India,807383037.0,,"1,371.3"
A M Tariq,India,807391645.0,,"1,371.3"
Mamata Banerjee,India,807406359.0,,"1,371.3"
Indira Gandhi,India,807439033.0,,"1,371.3"
V.P. Deenadayalu Naidu,India,807478407.0,,"1,371.3"
Mangal Das Pakvasa,India,807479965.0,,"1,371.3"
